ENGLISH ,TARAON/TAWRA
I gave up.,haa maraku dyabo
I get you.,haa nyu chung dyabo
I throwed,haa lyaku dyabo
I give in.,haa hungdi
I got mad.,haa tamei a
I had fun.,haa halyo dyabo
I hit Tom.,haa tom chaudyabo
I hope so.,haa wali wedi
I hung up.,haa soku dyabo
I knew it.,haa kasadi ki
I laughed.,haa maara dyabo
I like it.,haa prawedi
I lost it.,haa hamaku dyabo
I love it!,haa pra wehadi
I made it.,haa jidyabo
I may win.,haa hanebode
I mean it.,haa jyum marodi
I met Tom.,haa tom taruga dyabo
I met him.,haa muwa aa cha taruga dyabo
I miss it.,haa whetyung a
I said no.,haa sham ladyabo
I saw Tom.,haa tom whityung dyabo
I saw him.,haa muwa aa cha whityung dyabo
I saw one.,haa brage whii tyung dyabo
I saw you.,haa nyu whii tyung dyabo
I see Tom.,haa tom whii di
I took it.,haa awe shidyabo
I want it.,haa awe dhue a
I was new.,haa mei hanadyabo
I was shy.,haa halaudi ki
I will go.,haa bone
I woke up.,haa dyu dyabo
I'd do it.,haa awe jine
I'd leave.,haa botine
I'll call.,haa marone
I'll come.,haa hanane
I'll cook.,haa hayane
I'll help.,haa babrungne
I'll live.,haa ene
I'll obey.,haa dyung ne
I'll quit.,haa maraa ne
I'll sing.,haa tahse ne
I'll stay.,haa ene
I'll stop.,haa na ne
I'll talk.,haa marone
I'll wait.,haa kalyune
I'll walk.,haa cheine
I'm a man.,muwa aa haa
I'm angry.,haa khamyu shia
I'm awake.,haa jhue sa di
I'm blind.,haa balum ma
I'm bored.,haa hwam jia
I'm broke.,haa tawe prayum wedyabo
I'm cured.,haa pra naya
I'm drunk.,haa yuu yumho 
I'm dying.,haa sheidi
I'm early.,haa ana dyudi
I'm first.,haa shamidu hayu
I'm going.,haa bodi
I'm happy.,haa halyoshia
I'm lying.,haa lahalue di
I'm ready.,haa botyune
I'm right.,haa che ladi 
I'm sober.,haa pragu ladi
I'm sorry.,haa prayum weya
I'm stuck.,haa too hoya
I'm tired.,haa whayum jia
I'm tough.,haa mathung tawe wedi
I'm upset.,haa tawe prayum
I'm yours.,haa nyu ba
I've lost.,haa hamakuya
Ignore it.,jamu weya
Ignore it.,tharung halikum
Is Tom OK?,tom pra ea ye?
Is Tom in?,tom ang ke ea ya?
Is he Tom?,awe tom ye?
Is it bad?,awe prayum ye?
Is it far?,awe dya ye?
Is it hot?,awe kai aa ye?
Is it new?,awe me ya?
It burned.,awe gruku ya
It snowed.,awrai lya
It worked.,awe kam jia
It's 3:30.,tya 3:30
It's 7:45.,tya 7:45
It's 7:40.,tya 7:40
It's 8:30.,tya 8:30
It's 9:15.,tya 9:15
It's 9:30.,tya 9:30
It's a TV.,awe TV
It's cold.,tyung zuua
It's cool.,tyung the ha
It's dark.,tyung kanu a
It's easy.,tyung wefre a
It's fair.,che sha jia
It's free.,awe matyaku hoya
It's hard.,tyung haneyum
It's here.,a nyu
It's late.,raa shakuya
It's mine.,awe haa ba
It's okay.,khubiya
It's open.,awe pohoya
It's ours.,awe ning ba
It's sand.,awe tapyae
It's true.,awe jumla
Jump down.,bari duna
Keep away.,dyaga sona
Keep back.,solyanana
Keep cool.,misha eina
Keep that.,achiwe sona
Keep them.,anung sona
Keep warm.,langa sona
Leave Tom.,tom marana
Leave now.,tya marana
Let it be.,aa teinki
Let me be.,haa jishuena
Let me go!,haa boshuena
Let me in.,haa lumkoo hanashuena
Let us go.,ning mei boki
Let's eat.,ning thaki
Let's see.,ning wheki
Let's try!,ning jihwa reke
Lie still.,apiyum hi khana
Lie still.,misha khana
Listen up.,tharungna
Look back!,pling whina
Look here.,anyu whina
Loosen it.,tatye matyakuna
Loosen up.,tatye taji matyakuna
Move over.,welige kigumu
Nice shot!,pra tyoho
Of course!,o aa
Please go.,bona a
Put it on.,thowna a 
Read this.,awe purina
"Say ""aah.""",aah lana
"Say ""aah.""",nya lana
Say hello.,alai lana
See below.,bari whena
Seize him!,muwa aa rotakuna
Seriously?,jum ye?
She cried.,miya aa cha khroa
She walks.,miya aa cha cheia
Sign here.,ake juna
Sign this.,awe juna
Sit still.,misha dina
Sit tight.,pre dina
Start now.,tya jina
Stay away.,dya etyuna
Stay back.,pling etyuna
Stay calm.,misha ena
Stay cool.,tawe misha ena
Stay down!,bari ena
Stay thin.,mei a aa eina
Step back.,ping juna
Stop here.,ake kalyuna
Stop that!,wali jiya
Stop them.,ali jishue ya
Take care!,pra whei tyuna
Take mine.,haa ba shina
Take over.,cha ba shina
Take this.,awe shina
Thank you.,khodemu
That's OK.,wali nyu ye
That's it.,ali nyu
That's me.,awe haa
Then what?,elibo ja?
They fell.,chanung hawri kuya
They lied.,chanung la haluega
They lost.,chanung hamakuya
They swam.,chanung machae katepa bo
Time's up.,time shaliya
Tom bowed.,tom grubum diho
Tom cried.,tom khro
Tom dozed.,tom ingchum hoya
Tom drove.,tom garei khe
Tom froze.,tom juhoya
Tom is OK.,tom pra eia
Tom is in.,tom angke hanahoya
Tom stood up.,tom dehoya
Tom knits.,tom ting rukasa
Tom knows.,tom kasa
Tom moved.,tom bohoya
Tom slept.,tom einghoya
Tom spoke.,tom maroa
Tom tried.,tom dihuwre
Tom tries.,tom dihuwre a
Tom voted.,tom vote tehoya
Tom walks.,tom chai a
Tom waved.,tom atyo apia
Tom works.,tom kamdi
Tom'll go.,tom bobiya
Tom's fat.,tom mei darang
Tom's mad.,tom tamia
Tom's sad.,tom khudyow hoya
Tom's shy.,tom halae ha
Trust Tom.,tom we takau tharung na
Try again.,baudu jinana
Try it on.,baudu ing jina
Watch Tom.,tom whina
We agreed.,ning me dyung gadi
We saw it.,ning me whityung ya
We talked.,ning me marogaya
We waited.,ning kalyu gaya
We'll see.,ning me whiya
We'll try.,ning me dihuwreya
We'll win.,ning hanebiya
We're sad.,ning tyung tawe prayum weshia
We're shy.,ning halue shia
We've won!,ning haneya
What else?,alibo he?
What's on?,alibo ja?
What's up?,alibo jadia?
Who cares?,jala tharung ya
Who is he?,a we sha?
Who spoke?,sha maroa?
Who stood?,sha deya?
Who'll go?,sha bobiya?
Who's she?,awe mia aa shayaa?
Wonderful!,tyung pra
You drive.,nyu khe
You idiot!,kapa nyu
You start.,nyu hayu jina
You stink.,nyu nunga
You tried.,nyu jihawrena
You're OK.,nyu che jia
Aim higher.,darung shaya wena
All aboard!,mei mi hanahoya
Am I dying?,haa shei hadi nyu kya?
Am I early?,haa ana  dyudyabo nyu kya?
Am I fired?,haa khamyu dyabo nyu kya?
Am I right?,haa che ladi nyu kya?
Am I wrong?,haa jum ladyum nyukya?
Answer Tom.,tom we atyana
Are you 18?,nyu halau lyum kanung sha ye?
Are you OK?,nyu pra eidi ye?
Are you in?,nyu ang lumku eidi ye?
Are you up?,nyu dyu dyabo ye?
Ask anyone.,shami ahuna
Ask around.,shaladu ahuna
Be careful.,pra whityuna
Be patient.,pra tawe wena
Be serious.,mara ya
Birds sing.,pya gra
Bring wine.,yu shijana
Can I come?,haa angke hana hane ya?
Can I help?,haa modod jihane ye?
Can I stay?,haa eihane ye?
Carry this.,awe rona
Check that.,whe kuna
Check this.,awe whe kuna
Choose one.,brage shina
Come again.,buedu hanana
Come alone.,nyu pa hanana
Come along.,jampa hanana
Come early.,anna hanana
Come on in!,lumko hanana
Come to me.,haa du hanana
Come to us.,ning du hanana
Did Tom go?,tom bobo ye?
Do come in.,lumku hanana
Do men cry?,muwa aa bami khro ye?
Don't drag.,magooya
Don't come.,hanaya
Don't jump!,du ya
Don't look.,whi ya
Don't move.,ape iya
Don't peep.,goo ya
Don't push.,nyung ya
Don't sing.,tashe ya
Don't stop.,naa ya
Don't talk!,maroya
Don't wait.,kalyu ya
Don't tell.,atya ya
Drink this.,awe tyumna
Duty calls.,kampa ame a
Eat slowly.,habe thana
Examine it.,pra whina
Fill it up.,blung a jina
Find a job.,kam malana
Fire burns.,tamung preuna
Follow him.,chawe amena
Forget him.,chawe wesakuna
Forgive us.,ning prayum wehaya
Get off me.,haa du deiya
Give it up.,mara kuya
Go on home.,ang bohana
Go see Tom.,tom whigwna
Go to work.,kampa bona
God exists.,khanyum eia
Good night.,pra eing na
Have faith.,haa takau thrung na
He coughed.,muwa aa cha doa
He came in.,muwa aa cha hanaya
He gave up.,muwa aa cha mara kuya
He hold up.,muwa aa cha haa roa
He is a fool.,muwa aa cha kapa
He is here!,muwa aa cha anyu eia
He is kind.,muwa aa cha tawe pra mei
He is mean.,muwa aa cha tawe khaneyum
He is poor.,muwa aa cha dyuka eia
He is sick.,muwa aa cha naara
He is tall.,muwa aa cha tyun kalung de
He laughed.,muwa aa cha maraa
He made it.,muwa aa cha baya
He's cruel.,muwa aa cha takhu
He's lying.,muwa aa cha lahalue
He's smart.,muwa aa cha tyung kasa
"Hello, Tom.","hello, tom"
Here he is!,muwa aa cha anyu eia
Here it is.,anyu anha
Here we go.,anyu bodi
Here's Tom.,tom anyu
Hold still.,byu rona
How absurd!,kadedhue prayum
How boring!,tyung hera shia
How clever!,tyung tajue
How lovely!,tyung kashaing ya
How tragic!,kadenyu shakuya
How was it?,kade ki?
Hurry home.,ang tagroo hanana
I admit it.,haa dyung dii
I am a boy.,haa we muwa aa
I am a man.,haa tajai mei ha
I am bored.,haa herashia
I am happy.,haa halyoshia
I am human.,haa mei ha
I am ready.,haa tya botyu ya
I am right.,haa che marodi
I am tired.,haa hwayum jia
I broke it.,haa hadyu dyabo
I built it.,haa tarue dyabo
I can come.,haa hana hane
I can cook.,haa haya hane
I can jump.,haa du hane
I can sing.,haa tashe hane
I can stay.,haa ea hane
I can swim.,haa machie yohane
I can wait.,haa kalyu hane
I can't go.,haa bohane yum
I canceled.,haa jiyayum
I disagree.,haa dyung dyum
I eat here.,haa akee thadi
I eat meat.,haa tabre thadi
I eat rice.,haa tape thadi
I hate Tom.,haa tom prayum weshi
I hate her.,haa miya aa prayum weshi
I hate him.,haa mua aa cha prayum weshi
I feel bad.,haa prayum weshia
I feel old.,haa tapau shakuya
I fixed it.,haa maruna dyabo
I found it.,haa katyung dyabo
I got an A.,haa A chang dyubo
I had help.,haa babrung ringtyu
I hate Tom.,haa tom prayum wedi
I have one.,haa du brage ahaa
I have won.,haa hane dyabo
I hear you.,haa nyu takeu tharung tyung
I heard it.,haa tharung tyung dyabo
I help him.,haa cha babrung dyabo
I hope not.,haa weli shabiyum
I just ate.,haa thadyabo
I knew Tom.,haa tom kasadi
I know Tom.,haa tom kasadyabo
I know her.,haa meya a cha kasadi
I know now.,haa tya kasadyabo
I know you.,haa nyu kasadi
I like Tom.,haa tom praweshia
I like art.,haa zuga praweshi
I like him.,haa muwa aa we prawedi
I like tea.,haa phalam pra wedi
I like you.,haa nyu pra wedi
I listened.,haa tharung di
I love her.,haa miya aa we prawedi
I love him.,haa muwa aa tawe prawedi
I love tea.,haa phalam tyumya praweshia
I love you.,haa nyu pra wedi
I loved it.,haa awe pra wedyabo
I made tea.,haa phalam pung dyabo
I met them.,haa chanung taruga dyabo
I miss you.,haa nyu we tyung a
I need Tom.,haa tom dhue a
I need air.,haa harung dhue a
I need ice.,haa awraii dhue a
I need you.,haa nyu dhue a
I panicked.,haa reikuu dyabo
I ran away.,haa chow atiku dyabo
I ran home.,aa ang chowna jadyabo
I remember.,haa wethyung
I said yes.,haa o ladyabo
I saw that.,haa whityung dyabo
I saw them.,haa chanung whityung dyabo
I see that.,haa whii di
I shot Tom.,haa tom we okudyabo
I survived.,haa lii dyabo
I think so.,haa wali wedi
I threw up.,haa tazi lyaku dyabo
I told Tom.,haa tom atya dyabo
I use this.,haa awe bane di
I want Tom.,tom we haa dhuea
I want one!,haa brge dhuea
I want you.,haa nyu dhuea
I was away.,haa dya khige dyabo
I was busy.,haa tyung kam aha
I was good.,haa pra jidyabo
I was rude.,haa prayum jidyabo
I was sick.,haa naara dyabo
I will try.,haa beudo jine
I won't go.,haa boyayum
I'll be OK.,haa pra shanabia
I'll do it.,haa jine
I'll go in.,haa lumko bone
I'll hurry.,haa matyu ne
I'll shoot.,haa geharue o ne
I'll stand.,haa dene
I'll start.,haa hayu jine
I'm a cook.,haa tape hayaya mei
I'm a hero.,haa shamidu pra mei
I'm a monk.,haa sadhu ha
I'm afraid.,haa raishia
I'm amused.,haa halyo shia
I'm anemic.,haa tagru naara ro a
I'm better.,haa tawe takhu
I'm biased.,haa shami halyue ma jidi
I'm coming.,haa hanadi
I'm eating.,haa thadi
I'm famous.,haawe shami kasaha
I'm for it.,haa awe na
I'm greedy.,haa ingdu due a
I'm hiding.,haa mudi
I'm humble.,haa pra tawe ha
I'm hungry.,haa shityu a
I'm immune.,haa tagru prayum jia
I'm in bed.,haa tachung ke eidi
I'm inside.,haa angke eidi
I'm lonely.,haa pa eidi
I'm losing.,haa maara di
I'm mature.,haa tazai tawe
I'm moving.,haa tyipi bodi
I'm not OK.,haa tyung prayum
I'm rested.,haa aram jidi
I'm ruined.,haa mabayum shadyabo
I'm scared.,haa tyung raishia
I'm single.,haa we ha pa
I'm sleepy!,haa ing chum a
I'm so fat.,haa tyung mei darang
I'm thirsty.,haa machei tyumyu a
I've eaten.,haa thalia
I've tried.,haa maruya jidyabo
Ignore Tom.,tom jamu weya
Is Tom big?,tom mei darang ye?
Is Tom hot?,tom khamyu a ye?
Is Tom ill?,tom naara ye?
Is Tom out?,tom habung bobo ye?
Is he dead?,mua aa sheiku ye?
Is he tall?,mua aa meikalung ye?
Is it done?,shaliye?
Is it free?,jamei dungli ye?
Is it good?,awe pra ye?
Is it love?,awe kashaing shiya ye?
Is it time?,awe time shaliye?
Is that it?,awe aling ne ye?
Is this OK?,awe khubiya ye?
Is this it?,awe hi ye?
It happens.,ali sha tyapi
It is 7:45.,tya 7:45 sha
It matters.,awe dhuemakow
It was big.,awe tyung darung hi
It'll work.,awe kam jibiya
It's Tom's.,awe to ba
It's alive.,awe asung eiha
It's bulky.,awe blung hoya
It's clean.,awe tyung sopa
It's close.,awe tyung ga
It's early.,awe tyung anaa
It's green.,awe tyung a rong
It's my CD.,awe haa CD
It's night.,awe tayaa
It's on me.,awe haa kya
It's ready.,awe shaliya
It's shiny.,awe hablue a
It's stuck.,awe lungku hoya
It's there.,awe a manyu
It's white.,awe lyo rong
It's windy.,awe harung
It's yours.,awe nyuba
Just do it.,kade kigumu jina
Just relax.,ing khana
Keep it up!,ali pra jilana
Keep quiet!,misha ena
Leave town.,mla maraya bona
Let Tom go.,tom boteing ke
Let Tom in.,tom ang hanateing ke
Let me die.,haa shei myu a
Let me out!,haa taji maguna
Let me pay.,haa pisha hung sheuna
Let me see.,haa whisheuna
Let me try.,haa whine
Let us out.,ning taji maguna
Let's pray.,khanyum laki
Let's talk.,marogaki
Let's vote.,vote teboki
Let's walk.,chaiki
Look again.,bhuedu whina
Look ahead.,hanya whina
Look at it.,achiwe whina
Look at me.,haa whina
Look at us.,ning whina
Look it up.,taji whina
Look there.,achi whina
thorn hurts.,tanum num a
pain lasts.,raa nyaa
Mama cried.,mama khroa
Never mind!,prayum weya
No comment.,jamu laya
No kidding?,maraneya
No problem!,jamu shayum
"Oh, really?",weli nyu ye?
Pick it up.,katuena
Pull me up.,haa taji maguna
Quiet down.,misha dina
Replace it.,pii sona
Run for it!,we ba chowna
Say no.,sham lana
Say yes.,am lana
She is old.,miya aa cha tapau hoya
She smiled.,miya aa cha maraa
She's busy.,miya aa cha tyung kam aha
She's mine.,miya aa haa atamru
Sing along.,jampa tashena
Smell this.,nung na
Start here.,age hayu jina
dump over.,wekya tyuna
Stay sharp.,tawe pra wekasana
Step aside.,lumku hanana
Step on it!,awe kya dena
Stop there.,achi kalyuna
Take a bus.,bus garai kya bona
Take a book.,tako shina
Take over!,chowpana 
Take these.,awe nung shina
Talk to me.,haa du marona
Taste this.,thaprasa whina
That a boy!,awe muwa aa
That hurts.,achiwe kanum weprayum
That'll do.,achiwe khubia
That's Tom.,awe tom
That's all.,alige ne
That's his.,alige chaba
That's new.,alige mei ahaa
That's sad.,alige dyuka
They agree.,chanung dyung aa
They cheat.,chanung mei lahalue ga
They slept.,chanung ing reya
They stood.,chanung de horiya ya
They tried.,chanung dhehawreya
They're in.,chanung angke ega
This is OK.,awe chae
This is it.,awe ye
This is me.,awe haaba
This'll do.,awe khubiya 
Time is up.,time shaliya
Tom agreed.,tom dyung a
Tom agrees.,tom dyung biya
Tom ate it.,tom tha lia
Tom bit me.,tom haa krungku ya
Tom called.,tom ame aa
Tom cheats.,tom lahalue a
Tom danced.,tom biilia
Tom dances.,tom biia
Tom did it.,tom jiya
Tom drinks.,tom tyuma
Tom drives.,tom garae khe a
Tom failed.,tom haneyum
Tom forgot.,tom wesakuya
Tom fought.,tom hadu a
Tom gasped.,tom kalyu a
Tom got up.,tom dyu hoya
Tom has it.,tom du ahaa
Tom helped.,tom babrung a
Tom hit me.,tom haa chowkuya
Tom is bad.,tom prayum
Tom is big.,tom mei darang
Tom is fat.,tom toh thau a
Tom is fun.,tom mei pra
Tom is ill.,tom naara
Tom is mad.,tom tamei
Tom is new.,tom mi hanaho
Tom is odd.,tom tawe khalae
Tom is old.,tom tapau hoya
Tom is out.,tom hablung bobo
Tom is sad.,tom khudyow hoya
Tom is shy.,tom halau a
Tom is wet.,tom cheu hoya
Tom jumped.,tom dua
Tom looked.,tom whe a
Tom nodded.,tom kuru hapia
Tom obeyed.,tom thue kue dyung a 
Tom paints.,tom rong madoa
Tom paused.,tom nahoya
Tom phoned.,tom phone jia
Tom prayed.,tom khanyum la
Tom saw it.,tom whityung ya
Tom saw me.,tom haa whityung ya
Tom saw us.,tom ning whityung ya
Tom shaved.,tom thung chehoya
Tom sighed.,tom ing halyobo
Tom smiled.,tom mara
Tom smoked.,tom cigari duga
Tom smokes.,tom cigari dua
Tom snores.,tom inghogu rung a
Tom stayed.,tom angke edyabo
Tom talked.,tom maroa
Tom walked.,tom chai a
Tom winked.,tom balum ching a
Tom worked.,tom kamdia
Tom yelled.,tom halyoya atyung a 
Tom'll cry.,tom khrotyubo
Tom'll die.,tom sheityubo
Tom'll pay.,tom pisha hangbia
Tom's busy.,tom tyung yuegayum
Tom's deaf.,tom kruna tharung tyung yum
Tom's died.,tom sheiku ya
Tom's fast.,tom tyung tagroo
Tom's free.,tom jamu dihane
Tom's glad.,tom pra wehoya
Tom's gone.,tom boliya
Tom's here.,tom anyu ea
Tom's home.,tom ang hananaya
Tom's hurt.,tom khudyowsoya
Tom's left.,tom tyahi bobo
Tom's mean.,tom gabane we
Tom's safe.,tom jamu shayum
Tom's sick.,tom naara
Tom's ugly.,tom meiprayum
Tom's weak.,tom tyung naara
Tom's well.,tom pra ea
Tough luck!,"mathung, pra jina"
Try harder.,ingdo pre dina
Turn it on.,pona
Turn it up.,taji jina
Turn right.,right nyu hayeu na
Wait a sec.,inge kalyuna
War is bad.,haduga bo prayum
Was it fun?,halyoshi ye?
Watch this.,awe whina
We all die.,ning me sheibia
We all lie.,ning me lahalue di
We are men.,ning we muwa aa bami
We buy CDs.,ning CDs braigadi
We can pay.,ning braihane
We can try.,ning jihawrekuya
We can win.,ning hanebiya
We had fun.,ning halyoya
We laughed.,ning maraya
We like it.,ning praweshi
We lost it.,ning hamakuya
We love it.,ning pra wedi
We made it.,ning jilia
We saw Tom.,ning tom whityungya
We saw you.,ning nyu whityungya
We want it.,ning we dhue a
We'll cook.,ning tape hayaya
We'll help.,ning babrungya
We'll obey.,ning takue dyungya
We'll sing.,ning tashe ya
We'll wait.,ning kalyu ya
We'll walk.,ning chae ya
We'll work.,ning kam jia
We're back.,ning lyanaya
We're busy.,ning tyung wefreyum
We're cold.,ning julaia
We're even.,ning mei halyuema
We're fine.,ning mei pra
We're here.,ning mei a eidi
We're home.,ning mei ang hananaya
We're late.,ning raa shakuya
We're lazy.,ning herashia
We're rich.,ning pisha mathung ahaa
We're weak.,ning du jamu ayum
What gives?,ja hungdi?
What is it?,ja darae?
What's new?,ja darae mei?
Where am I?,haa hanu khidyabo?
Who are we?,ning sha ha?
Who has it?,sha du aaha?
Who is she?,sha baaya?
Who saw me?,sha haa whityungya
Who stayed?,sha eidyabo?
Who talked?,sha maroa?
Who was it?,sha nyu?
Who yelled?,sha graa?
Who's here?,ake shya eidi?
Who's next?,alibi shya?
Who's sick?,sha naraa?
